state,production,type
AK,1237317.51,Bottles and Cans
AL,81197.84,Bottles and Cans
AR,29154.71,Bottles and Cans
AZ,549506.13,Bottles and Cans
CA,215262733.7,Bottles and Cans
CO,226327173.3,Bottles and Cans
CT,614078.94,Bottles and Cans
DE,1782348.43,Bottles and Cans
FL,113226837.6,Bottles and Cans
GA,168504562.4,Bottles and Cans
HI,209863.28,Bottles and Cans
IA,86892.34,Bottles and Cans
ID,134924.03,Bottles and Cans
IL,12202109.29,Bottles and Cans
IN,494550.04,Bottles and Cans
KS,119090.95,Bottles and Cans
KY,1102646.59,Bottles and Cans
LA,1071922.57,Bottles and Cans
MA,1650939.2,Bottles and Cans
MD,1359780.93,Bottles and Cans
ME,1288872.59,Bottles and Cans
MI,5289747.58,Bottles and Cans
MN,4476477.04,Bottles and Cans
MO,150541420,Bottles and Cans
MS,88609.22,Bottles and Cans
MT,665260.81,Bottles and Cans
NC,59483203.56,Bottles and Cans
ND,5919.65,Bottles and Cans
NE,101915.72,Bottles and Cans
NH,33047896.65,Bottles and Cans
NJ,52705814.73,Bottles and Cans
NM,297692.43,Bottles and Cans
NV,68775.38,Bottles and Cans
NY,83641879.13,Bottles and Cans
OH,209832913.7,Bottles and Cans
OK,46864.37,Bottles and Cans
OR,10554554.17,Bottles and Cans
PA,42913085.09,Bottles and Cans
RI,118293.83,Bottles and Cans
SC,180219.14,Bottles and Cans
SD,7659.76,Bottles and Cans
TN,9528349.74,Bottles and Cans
TX,219534914.8,Bottles and Cans
UT,929912.45,Bottles and Cans
VA,151699037.1,Bottles and Cans
VT,2837458.61,Bottles and Cans
WA,1699935.46,Bottles and Cans
WI,107564929.4,Bottles and Cans
WV,3008.21,Bottles and Cans
WY,58357.08,Bottles and Cans
AK,753157.17,Kegs and Barrels
AL,85897.38,Kegs and Barrels
AR,34850.5,Kegs and Barrels
AZ,655980.99,Kegs and Barrels
CA,26028053.02,Kegs and Barrels
CO,24793784.35,Kegs and Barrels
CT,361127.83,Kegs and Barrels
DE,757142.29,Kegs and Barrels
FL,14807202.73,Kegs and Barrels
GA,5965320.83,Kegs and Barrels
HI,276695.64,Kegs and Barrels
IA,121261.04,Kegs and Barrels
ID,152023.51,Kegs and Barrels
IL,1595171.15,Kegs and Barrels
IN,565534.25,Kegs and Barrels
KS,71945.45,Kegs and Barrels
KY,230540.8,Kegs and Barrels
LA,617616.51,Kegs and Barrels
MA,1517514.29,Kegs and Barrels
MD,618515.22,Kegs and Barrels
ME,1103350.32,Kegs and Barrels
MI,2863542.94,Kegs and Barrels
MN,1487283.4,Kegs and Barrels
MO,12207319.93,Kegs and Barrels
MS,61717.78,Kegs and Barrels
MT,561750.12,Kegs and Barrels
NC,8971700.71,Kegs and Barrels
ND,12180.83,Kegs and Barrels
NE,104434.06,Kegs and Barrels
NH,4012718.99,Kegs and Barrels
NJ,5337934.83,Kegs and Barrels
NM,246293.65,Kegs and Barrels
NV,121970.06,Kegs and Barrels
NY,7120569.69,Kegs and Barrels
OH,19880914.78,Kegs and Barrels
OK,44398.56,Kegs and Barrels
OR,4962106.14,Kegs and Barrels
PA,12257910.99,Kegs and Barrels
RI,76207.82,Kegs and Barrels
SC,168032.5,Kegs and Barrels
SD,21461.29,Kegs and Barrels
TN,485887.7,Kegs and Barrels
TX,13058589.98,Kegs and Barrels
UT,511159.94,Kegs and Barrels
VA,14481494.58,Kegs and Barrels
VT,1003163.37,Kegs and Barrels
WA,2742907.69,Kegs and Barrels
WI,12409373.17,Kegs and Barrels
WV,43951.86,Kegs and Barrels
WY,97505.43,Kegs and Barrels
AK,112365.62,On Premises
AL,149486.74,On Premises
AR,70407.37,On Premises
AZ,335915.18,On Premises
CA,1807783.08,On Premises
CO,1179426.08,On Premises
CT,120879.73,On Premises
DE,68481.69,On Premises
FL,618147.22,On Premises
GA,235202.1,On Premises
HI,54475.55,On Premises
IA,278185.38,On Premises
ID,87747.5,On Premises
IL,693823.2,On Premises
IN,299727.38,On Premises
KS,107232.22,On Premises
KY,141340.94,On Premises
LA,123362.94,On Premises
MA,399801.05,On Premises
MD,183928.48,On Premises
ME,223305.11,On Premises
MI,715630.89,On Premises
MN,398960.65,On Premises
MO,236190.17,On Premises
MS,44432.02,On Premises
MT,205445.75,On Premises
NC,813231.9,On Premises
ND,33679.19,On Premises
NE,118957.89,On Premises
NH,179972.56,On Premises
NJ,284834.82,On Premises
NM,177821.06,On Premises
NV,198579.4,On Premises
NY,576028.09,On Premises
OH,461510.31,On Premises
OK,86123.57,On Premises
OR,781906.03,On Premises
PA,537299.06,On Premises
RI,58935.26,On Premises
SC,184564.3,On Premises
SD,36616.15,On Premises
TN,287402.75,On Premises
TX,734427.5,On Premises
UT,85987.18,On Premises
VA,586448.78,On Premises
VT,109644.08,On Premises
WA,613869.23,On Premises
WI,427601.6,On Premises
WV,35743.51,On Premises
WY,95469.64,On Premises
